# 六级单词表 · 共 5407 词 · 每 50 词一个单元
# 释义来源：ECDICT（MIT License）https://github.com/skywind3000/ECDICT
单词,音标,中文释义,英文释义
abandon,/ә'bændәn/,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵；n. 放任, 无拘束, 狂热","n. the trait of lacking restraint or control; reckless freedom from inhibition or worry；v. forsake, leave behind"
abbreviation,/ә.bri:vi'eiʃәn/,"n. 缩写词, 缩写, 缩短, 节略",n. a shortened form of a word or phrase；n. shortening something by omitting parts of it
abide,/ә'baid/,"vi. 停留, 遵守, 居留, 继续下去；vt. 忍受, 经受, 屈从于",v dwell；v put up with something or somebody unpleasant
abnormal,/æb'nɒ:mәl/,"a. 反常的, 不规则的, 变态的, 畸形的；n. 畸形的人",a. not normal; not typical or usual or regular or conforming to a norm；a. departing from the normal in e.g. intelligence and development
abolish,/ә'bɒliʃ/,"vt. 废止, 革除, 消灭；[经] 废除, 取消, 裁撤",v. do away with
abrupt,/ә'brʌpt/,"a. 突然的, 唐突的, 陡峭的, 不连贯的",s. marked by sudden changes in subject and sharp transitions；s. exceedingly sudden and unexpected
absence,/'æbsәns/,"n. 缺席, 缺乏, 没有；[医] 失神",n. the state of being absent；n. failure to be present
absent,/'æbsәnt/,"a. 缺席的, 不在的, 缺乏的, 漫不经心的；vt. 使缺席",v. go away or leave；a. not being in a specified place
absolute,/'æbsәlu:t/,"a. 绝对的, 专制的, 完全的, 独立的；n. 绝对事物",n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not rela…
absorb,/әb'sɒ:b/,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担；[医] 吸收",v. become imbued；v. take up mentally
absorption,/әb'sɒ:pʃәn/,"n. 吸收, 专心, 全神贯注；[化] 吸收; 吸收作用",n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid；n. (physics) the process in which incident radiated energy is retained without…
abstract,/'æbstrækt/,"a. 抽象的, 深奥的；n. 摘要, 抽象概念；vt. 摘要, 提炼, 使抽象化；[计] 摘录; 摘要; 抽象",v. consider a concept without thinking of a specific example; consider abstractly or theoretically；v. consider apart from a particular case or instance
absurd,/әb'sә:d/,"a. 荒谬的, 不合理的, 可笑的；n. 荒诞",n. a situation in which life seems irrational and meaningless；s. inconsistent with reason or logic or common sense
abundance,/ә'bʌndәns/,"n. 丰富, 充足, 大量；[经] 丰富, 充裕",n. the property of a more than adequate quantity or supply；n. (physics) the ratio of the number of atoms of a specific isotope of an element to the total number of isotopes present
abuse,/ә'bju:s.ә'bju:z/,"n. 滥用, 虐待, 恶习, 辱骂；vt. 滥用, 辱骂, 虐待",n. a rude expression intended to offend or hurt；v. use foul or abusive language towards
academic,/.ækә'demik/,"a. 学院的, 学术的, 不切实际的；n. 大学生, 大学教师, 学者, 学会会员",a. associated with academia or an academy；s. hypothetical or theoretical and not expected to produce an immediate or practical result
academy,/ә'kædәmi/,"n. 学院, 院校, 学会",n. a secondary school (usually private)；n. an institution for the advancement of art or science or literature
accelerate,/әk'selәreit/,"v. 加速, 促进",v. move faster；v. cause to move faster
acceptance,/әk'septәns/,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信；[经] 承兑, 认付, (工程)验收",n. the state of being acceptable and accepted；n. (contract law) words signifying consent to the terms of an offer (thereby creating a contract)
access,/'ækses/,"n. 通路, 入口, 接近, 进入, 使用权, 发作；vt. 访问, 存取, 接近, 使用；[计] 访问, 存取",n. the right to obtain or make use of or take advantage of something (as services or membership)；n. a way of entering or leaving
accessary,/әk'sesәri/,"a. 附属的, 附带的, 从犯的；n. 附件, 同谋, 从犯",s. aiding and abetting in a crime
accessible,/әk'sesәbl/,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",a. capable of being reached；s. capable of being read with comprehension
accessory,/әk'sesәri/,"n. 附件, 零件, 附加物, 从犯, 同谋；a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的；[计] 附件","n. clothing that is worn or carried, but not part of your main clothing；n. a supplementary component that improves capability"
accidental,/.æksi'dentl/,"a. 意外的, 偶然的, 非主要的, 附属的；n. 临时记号, 次要方面",n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature；s. happening by chance or unexpectedly or unintentionally
accommodate,/ә'kɒmәdeit/,"vt. 使适应, 调和, 通融, 容纳, 向...提供；vi. 适应",v. provide with something desired or needed；v. have room for; hold without crowding
accommodation,/ә.kɒmә'deiʃәn/,"n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款；[医] 调节(眼); 适应",n. a settlement of differences；n. in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality
accompany,/ә'kʌmpәni/,"vt. 陪伴, 伴随, 补充, 为...伴奏；vi. 伴奏, 伴唱",v. go or travel along with
accomplishment,/ә'kʌmpliʃmәnt/,"n. 成就, 完成",n. the action of accomplishing something
accord,/ә'kɒ:d/,"n. 一致, 调和, 协定；vt. 给与, 使一致；vi. 相符合",n. concurrence of opinion；n. sympathetic compatibility
accordance,/ә'kɒ:dәns/,"n. 一致, 和谐",n. the act of granting rights
accordingly,/ә'kɒ:diŋli/,"adv. 相应地, 因此, 于是",r. in accordance with
accumulate,/ә'kju:mjuleit/,"v. 积聚, 堆积",v. collect or gather
accuracy,/'ækjurәsi/,"n. 精确, 正确；[计] 准确度",n. the quality of being near to the true value；n. (mathematics) the number of significant figures given in a number
accurate,/'ækjurәt/,"a. 正确的, 精确的；[经] 准确的, 精确的","a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy；s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or tr…"
accuse,/ә'kju:z/,"vt. 指责, 控告, 归咎于；vi. 指责, 控告",v. bring an accusation against; level a charge against
accustom,/ә'kʌstәm/,vt. 使习惯于,v make psychologically or physically used (to something)
accustomed,/ә'kʌstәmd/,"a. 惯常的, 习惯了的",a. (often followed by `to') in the habit of or adapted to；s. commonly used or practiced; usual
achieve,/ә'tʃi:v/,"vt. 完成, 达到；vi. 如愿以偿",v. to gain with effort
achievement,/ә'tʃi:vmәnt/,"n. 完成, 成就, 功业",n the action of accomplishing something
acid,/'æsid/,"n. 酸, 酸类物质, 尖刻, 迷幻药；a. 酸的, 酸性的, 尖刻的, 敏锐的；[计] 自动文档互参与索引生成程序",n. any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt；n. street name for lysergic acid diethylamide
acknowledge,/әk'nɒlidʒ/,"vt. 承认, 告知收悉, 答谢, 报偿；[经] 承认, 答谢, 收到的通知","v. report the receipt of；v. express obligation, thanks, or gratitude for"
acquaint,/ә'kweint/,"vt. 使认识, 介绍",v. inform
acquaintance,/ә'kweintәns/,"n. 认识, 相识者",n. personal knowledge or information about someone or something；n. a relationship less intimate than friendship
acquire,/ә'kwaiә/,"vt. 获得, 学到；[电] 目标锁定",v. locate (a moving entity) by means of a tracking system such as radar；v. win something through one's efforts
acquisition,/.ækwi'ziʃәn/,"n. 获得, 获得物；[经] 收购, 招揽, 取得",n. the act of contracting or assuming or acquiring possession of something；n. something acquired
acquisitive,/ә'kwizitiv/,"a. 渴望获得的, 贪婪的；[法] 取得的, 获得的, 贪得无厌的",a. eager to acquire and possess things especially material possessions or ideas
action,/'ækʃәn/,"n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼；vt. 对...起诉；[计] 方式",n. something done (usually as opposed to something said)；n. the state of being active
actually,/'æktʃuәli/,"adv. 事实上, 竟然, 如今, 现在",r. in actual fact；r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly
acute,/ә'kju:t/,"a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的；[医] 急性的; 尖锐的",a. having or experiencing a rapid onset and short but severe course；s. extremely sharp or intense
adapt,/ә'dæpt/,"vt. 使适应, 改编；vi. 适应","v. make fit for, or change to suit a new purpose"
addict,/ә'dikt/,"vt. 使沉溺, 使上瘾；n. 入迷的人, 上瘾者",n. someone who is so ardently devoted to something that it resembles an addiction；n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal sy…
addition,/ә'diʃәn/,"n. 加法, 增加的人(或物)；[计] 加法",n. a component that is added to something to improve it；n. the act of adding one thing to another
additional,/ә'diʃәnәl/,"a. 附加的, 另外的, 额外的；[机] 加添的, 附加的",s further or added
address,/ә'dres/,"n. 住址, 演说, 举止, 灵巧, 求爱；vt. 发表(演说或讲话), 对付, 写地址；[计] 地址, 寻址",n. (computer science) the code that identifies where a piece of information is stored；n. the place where a person or organization can be found or communicated with
adequate,/'ædikwәt/,"a. 适当的, 足够的；[法] 胜任的, 适当的, 充分的",a. having the requisite qualities or resources to meet a task；s. sufficient for the purpose
adhere,/әd'hiә/,"vi. 依附, 粘着, 坚持, 追随, 拥护；vt. 使粘附",v. be compatible or in accordance with；v. follow through or carry out a plan without deviation
adjacent,/ә'dʒeisәnt/,"a. 毗连的, 邻近的, 连接的；[机] 相邻的, 邻位的, 交界的","s. nearest in space or position; immediately adjoining without intervening space；s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut"""
adjoin,/ә'dʒɒin/,"v. 邻接, 毗连",v. attach or add
adjust,/ә'dʒʌst/,"vt. 调整, 使适应于, 校准；vi. 适应于, 被调节, 相互熟悉而适应",v. alter or regulate so as to achieve accuracy or conform to a standard；v. adapt or conform oneself to new or different conditions
adjustable,/ә'dʒʌstәbl/,a. 可调节的；[电] 可调整的,s. capable of being changed so as to match or fit；s. capable of being regulated
