# 六级短语表 · 共 3398 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · CET-6 短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
a batch of,,一批，一组：指一组或一批相同或相关的物品或事物。,
a bit,,一点儿；有一点儿,
a blood donation,,献血,
a case in point,,恰当的例子,
a drastic debate,,激烈的辩论：指辩论过程中争论激烈、观点对立的情况。,
a far cry,,"遥远的距离, 大不相同的东西",
a far cry from,,离…很远的路程;与…大不相同,
a few,,"几个, 少数, 一些",
a good deal,,许多,
a good many,,很多,
a great deal,,大量,
a great many,,许许多多,
a historic spot,,古迹,
a little,,"一些, 一点点, 一点儿, 稍微, 些许",
a lot,,"大量, 很, 非常",
a lot of,,许多的,
a lots,,空降轻量光学跟踪系统（airborne lightweight optical tracking system）,
a man of fortune,,财主,
a multitude of,,"大批的,大量的,许许多多的…",
a musical entertainment,,音乐演奏会,
a nominal check,,暂无释义，可打开词卡用有道查询,
a number of,,许多的,
a piece of cake,,轻松的事,
a preliminary exam,,预考,
a preliminary trial,,初审；初试,
a reciprocal reception,,答谢招待会；答谢酒会,
a scenic spot,,风景胜地,
a sea of,,大量的、许多的某物,
a sequence of,,"一个…的序列,一系列…",
a spot on one's fame,,名誉上的污点,
a string of questions,,一连串问题,
a succession of,,"一系列,一连串,接连不断的",
a swarm of,,"一大群,蜂拥而至的",
a trifle,,"有点儿, 稍微",
a variety of,,"各种各样的..., 种种...",
a vivid description,,绘声绘色的描述；生动的描写；栩栩如生的描绘,
a wedding reception,/ə ˈwedɪŋ rɪˈsepʃn/,婚礼招待会：一种在婚礼仪式结束后举行的庆祝活动，通常包括宾客、新人、家庭成员和朋友的聚会。,
abandon doing sth.,,暂无释义，可打开词卡用有道查询,
abandon oneself to,,沉溺于,
abate up discontent,,暂无释义，可打开词卡用有道查询,
abide by,,遵守; 信守; 忠于（某人）; 接受,
above all,,"尤其是, 首先",
above board,,"公开地, 光明正大地",
above one's head,,"不能理解, 太深奥",
above sb.s head,,暂无释义，可打开词卡用有道查询,
absolute velocity,,[化] 绝对速度,
absorb one's attention,,暂无释义，可打开词卡用有道查询,
accelerated velocity,,加速速度：物体在单位时间内速度增加的量。,
accept one's resignation,,暂无释义，可打开词卡用有道查询,
access to,/ˈækses tu/,接触／使用权：能够接触、使用或进入某物或某地的权利或机会；通向某地的通道、道路或入口。,
accord with,,"与...符合, 与...一致",
according to,,"根据, 按照；取决于；据…所说",
account for,,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占,
accuse of,,指责，控告,
accuse sb. of sth.,,控告某人做了某事,
accustomed to,,习惯于···,
acknowledge doing,,承认做,
acquainted with,,熟悉；了解；与…相识,
across the board,,"全面地, 包括所有人在内",
act on,,"按...行动, 作用于；[机] 作用于",
act out,,"将...表演出来, 将...付诸行动",
act up,,"运作不正常, 调皮",
act upon,,"对…起作用[有功效]; 奉行, 按照…而行动; 照办",
actual velocity,,[机] 实际速度,
adapt to,,适应…;适合…,
add in,,把...包括在内；[计] 添加,
add on,,"（在计算或目录的末尾额外）加上, 附加",
add to,,"[机] 加入, 加到",
add up,,合计,
add up to,,合计达,
adhere to,,"执着于,坚持,粘附于,信奉…",
adjust to,,[计] 调整至,
administer the oath to sb.,,暂无释义，可打开词卡用有道查询,
admit doing,/ədˈmɪt ˈduːɪŋ/,承认做了某事：公开或私下承认自己已经做了某件事。,
admit of,,"承认,坦白",
admit one's guilt,,认罪,
advantage over,,比……更有优势：比某人或某事物更有优势或更有利。,
affiliate oneself to,,成为…的会员,
afford to do sth.,,暂无释义，可打开词卡用有道查询,
after a fashion,,勉强,
after all,,毕竟,
after glow,,余晖：太阳落山后天空中的残余光线，通常呈现出美丽的红色或橙色。；余韵：某种经历或事件结束后，仍然存在的愉悦或满足感。,
again and again,,"再三地, 反复地",
agree on,,"就…取得一致意见,商定",
agree to,,"同意,赞成…",
agree upon,,"就…取得一致意见,商定…",
ahead of,,在…之前,
ahead of schedule,,提前,
ahead of time,,提早,
aim at,,"瞄准,对准;旨在,目的在于",
all along,,"始终, 一直",
all at once,,"突然, 同时；[计] 整批发送",
all but,,"几乎, 差一点",
all in all,,"总而言之, 合计, 头等重要的东西",
all manner of,,各种各类的,
all of a sudden,,突然,
all over,,"全部结束, 到处, 浑身",
all over again,,"完全重做,从头开始",
all right,,"好, 顺利, 良好的, 正确的",
all the rest,/ɔːl ðə rest/,其他所有的,
all the same,,仍然,
all the time,,始终,
all the way,,"从远道, 自始至终, 一路上",
all the while,,"一直, 始终",
all things considered,,从全面考虑,
all thumbs,,笨手笨脚的,
all told,,合计；[经] 全部容量,
allow for,,"虑及, 体谅",
allow of,,容许,
allude to,,"间接提到,暗指,隐喻,引用…",
along with,,"与…一道,与…一起,连同…",
amend one's error,,改正自已的过失,
amount to,,"[经] 等于, 相当于",
an abundance of,,"大量的,丰富的",
an appendix to the book,,书的附录,
an assault on sb.,,暂无释义，可打开词卡用有道查询,
an assault on sth.,,暂无释义，可打开词卡用有道查询,
an exception to,,例外：与一般规则或情况不同的特殊情况或个体。,
an excess of expenditure over income,,暂无释义，可打开词卡用有道查询,
analogy between,,类比：两个或多个事物之间的相似性或相似之处。,
and so forth,,等等,
and so on,,等等,
angle for,,巧妙间接地尝试获得某物：指以巧妙、间接的方式试图获取某物。,
answer for,,符合（…需要）; 对…负责; 充当…; 许诺,
answer to,,"与…一致,符合;因…而起作用",
anything but,,"单单除...之外, 决不",
anything like,,"像…的东西;几乎,将近,差不多;全然,根本",
apart from,,除了...之外,
appeal to,,[法] 诉诸...,
apply for,,"申请,请求,要求…",
apply to,,[计] 应用于,
approve of,,"赞成,批准…",
approximate to,,"近于,接近",
apt to,,[法]易于,
apt to do,,易于,
arise from,,"从…中产生,由…而引起",
arm in arm,,臂挽臂,
around the clock,,"连续一整天, 连续一昼夜, 二十四小时",
around the corner,,"在拐角处, 在附近, 即将来临",
arrive at a conclusion,/əˈraɪv æt ə kənˈkluːʒn/,得出结论：通过分析和推理，最终得出一个判断或结论。,
as a matter of fact,,事实上,
as a result,,结果,
as a result of,,作为结果,
as a rule,,通常,
as a rule of thumb,,作为经验法则：一种基于经验和常识的一般性原则或指导方针。,
as a whole,,总体上,
as far as,,"远到, 直到, 至于",
as far as…be concerned,,就……而论,
as follows,,如下,
as for,,至于,
as good as,,"和...几乎一样, 实际上等于...",
as if,,好像,
as it is,,"事实上, 实际上, 既然如此",
as it were,,"可以说是, 似乎就是",
as long as,,只要...,
as much,,同样多少,
as much as,,"尽...那样多, 差不多",
as often as not,,"往往, 多半",
as opposed to,,"完全不同, 截然相反, 反对, 对照",
as regard,,"关于,至于",
as regards,,"关于, 至于",
as soon as,,一...就,
as such,,"照比, 本身",
as though,,"好像, 仿佛",
as to,,"根据,按照,依照;关于,至于,就…而言",
as well,,也,
as well as,,"也, 又",
as yet,,至今仍,
ascribe to,,v. 归于,
aside from,,除...以外,
ask after,,探问,
ask for,,"请求, 找(人)",
ask for comments,,征求意见：请求他人提供意见或建议。,
aspire after,,"v. 渴望,追求",
aspire to,,渴望， 希求,
assert oneself,,坚持自己的权利,
assist sb. in doing sth.,,暂无释义，可打开词卡用有道查询,
assist sb. to do sth.,,暂无释义，可打开词卡用有道查询,
assist sb. to one's feet,,暂无释义，可打开词卡用有道查询,
associate with,,"与…有联系,和…交往",
assure of,,向某人自信地告知某事是真实的，尤其是为了让他们不担心：指向某人保证某事是真实的，以消除他们的担忧或不安。,
at a glance,,"看一眼, 一下子",
at a loss,,"困惑, 亏本地",
at a moment's notice,,立即行动：在被告知后立即采取行动。,
at a pinch,,在紧要关头,
at a premium,,"在票面价值以上, 非常珍贵；[经] 溢价, 超过票面以上的价格",
at a rough estimate,/æt ərʌf ˈestɪmət/,粗略估计：用于表示对某事物的估计并不精确或准确。,
at a stretch,,一口气地,
at a stroke,,"一笔,一举,一下子;立刻,马上",
at a time,,"每次, 在某时",
at all,,"根本, 完全",
at all costs,,不惜任何代价,
at all events,,无论如何,
at all times,,一直,
at any cost,,无论如何,
at any price,,无论如何,
at any rate,,"无论如何, 至少",
at best,,最多,
at ease,,"安逸, 自由自在; 自然; 心净",
at fault,,"感到困惑, 有故障",
at first,,起先,
at first appearance,,初看起来,
at first blush,,"<正> 猛一看, 乍看",
at first glance,,"一看就, 初看, 乍看起来",
at first sight,,乍一看,
at full blast,,"处于高潮,热火朝天,正起劲,正在进行",
at full tilt,,"全速地, 用力地",
at great length,/æt ɡreɪt leŋθ/,详细地，充分地：用于描述某人讲话或写作时非常详细和冗长。,
at hand,,"在手边, 在附近, 即将到来",
at heart,,在内心里,
at home,,"在家, 在本地, 在国内, 熟悉",
at intervals,,"不时, 相隔一定距离",
at large,,"未被捕, 详尽, 普遍；[法] 未被捕的, 逍遥法外的, 详尽的",
at last,,终于,
at least,,至少；[法] 至少,
at leisure,,"空闲着, 从容地",
at length,,"最后, 详细地",
at liberty,,"自由, 有空",
at long last,,"终于, 最后",
at most,,至多,
at no time,,决不,
at odds,,不一致,
at odds with,,与…不和，与…争吵,
at once,,立刻,
at one,,"融恰,友好,一致,相符",
at one stroke,,"一笔, 一举",
at one time,,"同时, 曾经",
at one with,/æt wʌn wɪð/,与某物融为一体，感到和谐平静；与他人意见一致,
at one's disposal,,[法] 自由处置,
at one's option,,随意,
at one's wit's end,,"智穷计尽, 不知所措",
at one's wits' end,,"山穷水尽, 不知所措",
at peace,,处于和平状态,
at present,,"现在, 目前",
at random,,"胡乱地, 随便地；[法] 任意地, 遂意地",
at risk,,"在危险中,在危急时",
at sb.s disposal,,暂无释义，可打开词卡用有道查询,
at sb.s expense,,暂无释义，可打开词卡用有道查询,
at sea,,"在大海上, 迷茫",
at short notice,,一通知就；[经] 在通知的短期间内,
at sight,,"一见；[经] 见票即付, 即期",
at stake,,"危如累卵, 在危险中",
at the beginning,,从头开始,
at the climax of,,处于…的顶峰,
at the cost of,,以...为代价,
at the expense of,,"归...付费, 在损害...的情况下；[法] 归...付费",
at the latest,,最迟,
at the mercy of,,受...支配,
at the moment,,此刻,
at the outset,,"开始,起初",
at the outside,,至多,
at the risk of,,"冒...的危险, 有...的危险/可能",
at the sacrifice of,,"牺牲…,以牺牲…作为代价",
at the same time,,"同时, 但是",
at times,,"有时, 不时",
at will,,"随意, 任意",
at work,,"在工作, 在运转",
attach importance to,,重视,
attach sth. to sth.,,把某物附加到某物上：将一个物体连接或固定到另一个物体上。,
attend to,,处理; 注意; 听取; 致力于,
attend upon,,v. 服侍,
attribute to,,v. 归因于,
avail oneself of,,利用,
avail oneself to,,暂无释义，可打开词卡用有道查询,
avenge oneself on,,向……报仇：对某人进行报复，以弥补自己所受的伤害或损失。,
back and forth,,来回地,
back away,,逐渐后退,
back down,,"放弃要求, 取消前言",
back off,,后退,
back out,,"停止不干, 食言；[法] 收回, 不再担保, 不承认",
back up,,"支持, 倒退, 给...装上背衬",
badly off,,"穷的, 缺少的",
ban from,/bæn frəm/,v. 禁止（某人或某物）进入（某地）、参加（某组织或活动）或做（某事）；常用于 ban sb/sth from sth/doing sth 结构，也可用被动态 be banned from sth/doing sth,
bank on,,"指望, 依赖",
bargain for,,"指望, 想以廉价买",
bargain on,,"指望,预料",
barge in,,"v. 闯入, 干涉",
base on,,v. 基于,
base upon,,基于：以某事物为基础或依据。,
batch production,,"[经] 分批生产, 成批生产",
be a consistent friend to sb.,,暂无释义，可打开词卡用有道查询,
be a match for,,势均力敌：指两方势力、能力相当，无法决出胜负。,
be about to,,即将,
be about to down,,暂无释义，可打开词卡用有道查询,
be above comprehension,,难理解的,
be absorbed by,,"为…所吞并,被…吸收",
be absorbed in,,"全神贯注于, 专心于",
be abundant in,,"富于,有很多",
be accessible to,,"可以进入,拿得到,对…开放,易受…影响",
be addicted to,,沉迷于…,
be adequate for,,足够满足某种需求或要求：能够提供足够的数量、质量或能力以满足特定的需求或要求。,
be adequate to doing sth.,,暂无释义，可打开词卡用有道查询,
be adequate to sth.,,暂无释义，可打开词卡用有道查询,
be affiliated to,,"附属于…,加入…",
