#separator:Comma
#html:false
#notetype:Basic
#deck:iball的小屋::电影::摩登家庭
#columns:Front,Back
"Yeah, just a sec.","好的，等一下。

释义：等一下
音标：/dʒʌst ə sek/"
"No, it's way too short, people know you're a girl you don't need to prove it to them.","不行，这裙子太短了，大家都知道你是女孩，用不着跟他们证明。

释义：太短了
音标：/weɪ tuː ʃɔːrt/"
"Luke got his head stuck in the banister again.","Luke 又把头卡在楼梯栏杆里了。

释义：头卡在...里
音标：/ɡet wʌnz hɛd stʌk ɪn/"
"I was out of control growing up.","我成长过程中完全无法无天。

释义：失控
音标：/aʊt əv kənˈtroʊl/"
"Gloria, they're 0 and 6, let's take it down a notch.","Gloria，他们0比6落后了，咱收着点行不行。

释义：冷静一点，收着点
音标：/teɪk ɪt daʊn ə nɑtʃ/"
"You've gotta take that kid out!","你得把那孩子换下场！

释义：把某人换下场；教训某人
音标：/teɪk ˈsʌmwʌn aʊt/"
"Don't be fooled by the uh Give me a second here.","别被...骗了，等我组织一下语言。

释义：被...误导/骗到
音标：/bi fuːld baɪ/"
"we initially asked one of our lesbian friends to be a surrogate","我们一开始想请一位同性恋朋友当代孕母亲。

释义：代孕母亲
音标：/ˈsɜːrəɡət/"
"Honey, look at that baby with those creampuffs.","亲爱的，看那个被这些娘娘腔抱着的宝宝。

释义：娘娘腔，软弱的人
音标：/ˈkriːmpʌf/"
"love knows no race, creed or gender and shame on you!","爱不分种族、信仰和性别，你们真可耻！

释义：爱不分种族、信仰和性别
音标：/lʌv noʊz noʊ reɪs kriːd ɔːr ˈdʒɛndər/"
"love knows no race, creed or gender and shame on you!","爱不分种族、信仰和性别，你们真可耻！

释义：你真可耻
音标：/ʃeɪm ɑːn juː/"
"You small minded, ignorant fe-","你们这些心胸狭隘、无知的...

释义：心胸狭隘的
音标：/smɔːl ˈmaɪndɪd/"
"he needs to be checked by a specialist.","他得去看专科医生了。

释义：专科医生，专家
音标：/ˈspɛʃəlɪst/"
"because you guys are just going to embarrass me again.","因为你们肯定又会让我难堪。

释义：使尴尬，让...难堪
音标：/ɪmˈbærəs/"
"I'm bound to be a little suprised, but We're not gonna embarrass you!","我肯定会有点惊讶，但我们不会让你难堪的！

释义：一定会，势必
音标：/bi baʊnd tuː/"
"That's my thang.","那是我的风格。

释义：那是我的风格/拿手好戏
音标：/ðæts maɪ θæŋ/"
"I surf the web, I text.","我上网，我发短信。

释义：上网浏览
音标：/sɜːrf ðə wɛb/"
"Yes, we were and now you have to follow through.","对，我们是认真的，现在你得说到做到。

释义：坚持到底，兑现承诺
音标：/ˈfɑːloʊ θruː/"
"Sorry dude, it's on the calendar.","抱歉兄弟，这事儿已经排上日程了。

释义：已经安排好了，板上钉钉
音标：/ɪts ɑːn ðə ˈkæləndər/"
"that blowup with that other mom, why do you have to do things like that?","跟那位妈妈吵成那样，你干嘛非得这样呢？

释义：争吵，冲突爆发
音标：/ˈbloʊʌp/"
"Oh, for God's sake.","哦，天啊。

释义：天啊，看在上帝份上
音标：/fɔːr ɡɑːdz seɪk/"
"Oh, it's okay for you to take another lover? Watch it!","哦，你就可以再找个情人？说话注意点！

释义：小心点，说话注意
音标：/wɑːtʃ ɪt/"
"if you put on a puffy white shirt and declare your love for a 16-year-old","如果你穿着一件蓬松的白衬衫去向一个16岁女孩表白

释义：蓬松的，鼓鼓的
音标：/ˈpʌfi/"
"you're gonna be swinging from the flagpole in your puffy white underpants!","你就会穿着蓬松的白内裤被挂在旗杆上！

释义：被挂在旗杆上（喻当众出丑）
音标：/swɪŋ frʌm ðə ˈflæɡpoʊl/"
"if it toughens him up a little bit, then oh, jeez, he's picking flowers!","如果这能让他坚强一点，那...哦天，他在摘花！

释义：让某人变得坚强
音标：/ˈtʌfən ˈsʌmwʌn ʌp/"
"your body does a nesting, very maternal primal thing, were it retains nutrients.","你的身体会产生一种筑巢本能，非常母性的原始反应，会储存营养。

释义：筑巢本能（孕期囤货行为）
音标：/ˈnɛstɪŋ/"
"your body does a nesting, very maternal primal thing, were it retains nutrients.","你的身体会产生一种筑巢本能，非常母性的原始反应，会储存营养。

释义：母性的
音标：/məˈtɜːrnəl/"
"your body does a nesting, very maternal primal thing, were it retains nutrients.","你的身体会产生一种筑巢本能，非常母性的原始反应，会储存营养。

释义：原始的，本能的
音标：/ˈpraɪməl/"
"Well, that's reassuring, right Lilly?","嗯，真让人安心啊，是吧Lilly？

释义：令人安心的（此处反讽）
音标：/ˌriːəˈʃʊrɪŋ/"
"You're an avoider.","你就是个逃避型人格。

释义：逃避者，回避型的人
音标：/əˈvɔɪdər/"
"And you do have avoidance issues; even Langina said so!","你确实有逃避倾向，连Langina都这么说！

释义：逃避倾向，回避问题
音标：/əˈvɔɪdəns ˈɪʃuːz/"
"Let me meet this playa.","让我会会这位情场高手。

释义：情场高手，花花公子
音标：/ˈpleɪjə/"
"You two two keep it real? You k'now what it mean, son?","你们俩都挺真诚的吧？你知道什么意思吧，小子？

释义：真诚待人，不装
音标：/kiːp ɪt riːl/"
"I could defeat you if it came to a physical confrontation!","要是真动手我能打赢你！

释义：肢体冲突，正面交手
音标：/ˈfɪzɪkəl ˌkɑːnfrənˈteɪʃən/"
"So stop being a gloomy goose, and stop being so hard on Manny.","所以别整天丧着个脸，也别对Manny那么苛刻。

释义：闷闷不乐的人，丧脸怪
音标：/ˈɡluːmi ɡuːs/"
"I don't wanna see him make a fool of himself.","我不想看他出洋相。

释义：出洋相，让自己难堪
音标：/meɪk ə fuːl əv wʌnˈsɛlf/"
