# 考研单词表 · 共 4801 词 · 每 50 词一个单元
# 释义来源：ECDICT（MIT License）https://github.com/skywind3000/ECDICT
单词,音标,中文释义,英文释义
abandon,/ә'bændәn/,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵；n. 放任, 无拘束, 狂热","n. the trait of lacking restraint or control; reckless freedom from inhibition or worry；v. forsake, leave behind"
abdomen,/'æbdәmen/,n. 腹部；[医] 腹[部],n. the region of the body of a vertebrate between the thorax and the pelvis
abide,/ә'baid/,"vi. 停留, 遵守, 居留, 继续下去；vt. 忍受, 经受, 屈从于",v dwell；v put up with something or somebody unpleasant
ability,/ә'biliti/,"n. 能力, 才干；[经] 能力, 才能",n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment；n. possession of the qualities (especially mental qualities) required to do something or ge…
abnormal,/æb'nɒ:mәl/,"a. 反常的, 不规则的, 变态的, 畸形的；n. 畸形的人",a. not normal; not typical or usual or regular or conforming to a norm；a. departing from the normal in e.g. intelligence and development
aboard,/ә'bɒ:d/,"adv. 在船上, 在火车上, 在飞机上；prep. 在...之上","r. on a ship, train, plane or other vehicle；r. on first or second or third base"
abolish,/ә'bɒliʃ/,"vt. 废止, 革除, 消灭；[经] 废除, 取消, 裁撤",v. do away with
abound,/ә'baund/,"vi. 大量存在, 富于, 充满",v. be abundant or plentiful; exist in large quantities；v. be in a state of movement or action
abrupt,/ә'brʌpt/,"a. 突然的, 唐突的, 陡峭的, 不连贯的",s. marked by sudden changes in subject and sharp transitions；s. exceedingly sudden and unexpected
absence,/'æbsәns/,"n. 缺席, 缺乏, 没有；[医] 失神",n. the state of being absent；n. failure to be present
absent,/'æbsәnt/,"a. 缺席的, 不在的, 缺乏的, 漫不经心的；vt. 使缺席",v. go away or leave；a. not being in a specified place
absolute,/'æbsәlu:t/,"a. 绝对的, 专制的, 完全的, 独立的；n. 绝对事物",n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not rela…
absorb,/әb'sɒ:b/,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担；[医] 吸收",v. become imbued；v. take up mentally
abstract,/'æbstrækt/,"a. 抽象的, 深奥的；n. 摘要, 抽象概念；vt. 摘要, 提炼, 使抽象化；[计] 摘录; 摘要; 抽象",v. consider a concept without thinking of a specific example; consider abstractly or theoretically；v. consider apart from a particular case or instance
