# 考研短语表 · 共 2843 条 · 每 50 条一个单元
# 短语来源：2ndLA/english-phrases · 考研短语表（CC BY-SA 4.0）；释义来源：ECDICT（MIT License）
单词,音标,中文释义,英文释义
a bit,,一点儿；有一点儿,
a bit of,,一点,
a body of,,大量的...,
a case in point,,恰当的例子,
a chance of lifetime,,生命的机遇,
a chorus of protest,,暂无释义，可打开词卡用有道查询,
a copy of,,一份拷贝：指某物的复制品或副本。,
a couple of,,"一对..., 三两个...",
a flash in the pan,,昙花一现,
a fraction of,,一小部分的,
a handful of,,"一小撮,少数",
a host of,,"许多,一大群",
a large number of,,"大量的..., 许多...",
a large quantity of,,大量...,
a majority of,,"大部分,大多数",
a matter of,,"...左右, ...上下, 只是...的问题而已, 只需, 大约",
a multitude of,,"大批的,大量的,许许多多的…",
a number of,,许多的,
a part of,,部分,
a passing fad,,一时的风尚：指一种短暂流行的事物或潮流，很快就会过时或不再受欢迎。,
a period of,,阵子,
a piece of cake,,轻松的事,
a range of,,一系列; 一些; 一套,
a sea of,,大量的、许多的某物,
a sequence of,,"一个…的序列,一系列…",
a series of,,"一系列..., 一批...",
a slap in the face,,"耳光, 突然的责备",
a sort of,,"一种,某种,勉强称得上的…",
a spell of,,一段时间；一阵；一个咒语,
a stab in the back,,"诽谤, 伤人暗箭",
a string of,,n. 一串的，一系列，一批; 一连串,
a sum of,,一笔钱的总额：指一定数量或金额的钱的总和。,
a swarm of,,"一大群,蜂拥而至的",
a ton of,,非常强烈或有力地,
a train of,,一连串,
a variety of,,"各种各样的..., 种种...",
a wide range of,,"范围广泛的,一连串的,变化幅度大的,参差不平",
abandon oneself to,,沉溺于,
abide by,,遵守; 信守; 忠于（某人）; 接受,
abound in,,v. 富于; 盛产,
abound with,,"充满,有大量的…,盛产…",
about to,,即将，正要，刚要; 欲,
above all,,"尤其是, 首先",
absence of mind,,心不在焉,
access to,/ˈækses tu/,接触／使用权：能够接触、使用或进入某物或某地的权利或机会；通向某地的通道、道路或入口。,
accessible to,/əkˈsesəbl tu/,对……可接近的，对……可进入的；对……可获得的，对……可使用的，对……可访问的；对……可理解的，对……易理解的,
accomplish one's purpose,,暂无释义，可打开词卡用有道查询,
accord with,,"与...符合, 与...一致",
according to,,"根据, 按照；取决于；据…所说",
account for,,对…负有责任；对…做出解释；说明……的原因；导致；（比例）占,
accountable for,,adj. 对……负责；须为……承担责任或作出交代,
accountable to,/əˈkaʊntəbl tu/,对……负责，向……负责：须就自己的行为或决定向某人、某机构或某种标准、法律等作出交代并承担责任。,
accuse of,,指责，控告,
accuse sb. of,,指责某人：指责某人做了道德上错误、违法或不友善的事情。,
across the globe,,遍布全球：指某事物或某现象在全球范围内普遍存在或发生。,
act for,,代理,
act on,,"按...行动, 作用于；[机] 作用于",
